BLANQUEADOR,BOTELLA 950 ML. EL RENDIDOR,CLORALEX,DETERGENTES Y PRODUCTOS SIMILARES,BASICOS,14.70,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
CHILES,LATA 220 GR. JALAPEÑOS RAJAS,LA COSTEÑA,FRUTAS Y LEGUMBRES PROCESADAS,BASICOS,12.00,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
CREMA DENTAL,TUBO 100 ML. CON CALCIO,COLGATE. MAXIMA PROTECCION ANTICARIES,ARTS. PARA EL CUIDADO PERSONAL,BASICOS,20.90,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
CREMA LIQUIDA,BOTELLA 400 ML. ESENCIAL. PIEL SECA,DOVE,ARTS. PARA EL CUIDADO PERSONAL,BASICOS,58.90,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
CREMA LIQUIDA,BOTELLA 400 ML. PIEL NORMAL,LUBRIDERM,ARTS. PARA EL CUIDADO PERSONAL,BASICOS,72.00,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
CREMA LIQUIDA,BOTELLA 400 ML. EXPRESS HIDRATION. PIEL NORMAL,NIVEA,ARTS. PARA EL CUIDADO PERSONAL,BASICOS,77.00,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
CREMA LIQUIDA,BOTELLA 400 ML. PIEL EXTRA SECA. YOGHURT + FRUTAS,PALMOLIVE. NATURALS,ARTS. PARA EL CUIDADO PERSONAL,BASICOS,45.90,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
CREMA SOLIDA,FRASCO 400 ML.,NIVEA,ARTS. PARA EL CUIDADO PERSONAL,BASICOS,100.50,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
CREMA SOLIDA,FRASCO 200 GR.,POND´S. S,ARTS. PARA EL CUIDADO PERSONAL,BASICOS,64.90,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
DESODORANTE,ROLL ON 50 ML. ACLARADO NATURAL. PARA DAMA,NIVEA,ARTS. PARA EL CUIDADO PERSONAL,BASICOS,30.50,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
