producto|presentacion|marca|tipo|catalogo|precio|fecha|tienda|tipo_tienda|sucursal|direccion|estado|ciudad
aceite|botella 1 lt. mixto|1-2-3|aceites y grasas veg. comestibles|basicos|28.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
acondicionador y enjuague|botella 400 ml. control caida|pantene|arts. para el cuidado personal|basicos|57.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
agua con gas|botella 2 lt.|penafiel|refrescos envasados|basicos|21.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
agua sin gas|botella 1.5 lt. limon|be-light|refrescos envasados|basicos|16.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
agua sin gas|botella 1.5 lt.|bonafont|refrescos envasados|basicos|16.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
agua sin gas|botella 1.5 lt.|santa maria|refrescos envasados|basicos|17.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
alimento preparado para ninos|frasco 113 gr. a partir de los 6 meses. manzana|gerber|frutas y legumbres procesadas|basicos|12.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
alimento preparado para ninos|frasco 170 gr. a partir de los 8 meses. manzana|gerber|frutas y legumbres procesadas|basicos|15.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
atun|lata 140 gr. (clasico). en hojuelas en agua con aceite|tuny|pescados y mariscos en conserva|basicos|13.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
atun|lata 140 gr. (clasico). en hojuelas en agua|tuny. light|pescados y mariscos en conserva|basicos|13.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
azucar|bolsa plastico 1 kg. estandar morena|s/m|azucar|basicos|23.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
bebidas hidratantes|botella 600 ml. naranja. (sport bottle)|gatorade|refrescos envasados|basicos|21.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
bebidas hidratantes|botella 600 ml. frutas|powerade|refrescos envasados|basicos|17.9|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
blanqueador|botella 950 ml. el rendidor|cloralex|detergentes y productos similares|basicos|14.7|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
chiles|lata 220 gr. jalapenos rajas|la costena|frutas y legumbres procesadas|basicos|12.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
crema dental|tubo 100 ml. con calcio|colgate. maxima proteccion anticaries|arts. para el cuidado personal|basicos|20.9|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
crema liquida|botella 400 ml. esencial. piel seca|dove|arts. para el cuidado personal|basicos|58.9|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
crema liquida|botella 400 ml. piel normal|lubriderm|arts. para el cuidado personal|basicos|72.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
crema liquida|botella 400 ml. express hidration. piel normal|nivea|arts. para el cuidado personal|basicos|77.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
crema liquida|botella 400 ml. piel extra seca. yoghurt + frutas|palmolive. naturals|arts. para el cuidado personal|basicos|45.9|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
crema solida|frasco 400 ml.|nivea|arts. para el cuidado personal|basicos|100.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
crema solida|frasco 200 gr.|pond s. s|arts. para el cuidado personal|basicos|64.9|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
desodorante|roll on 50 ml. aclarado natural. para dama|nivea|arts. para el cuidado personal|basicos|30.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
desodorante|roll on 65 gr. frescura suave. para dama|obao|arts. para el cuidado personal|basicos|24.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
desodorante|barra 45 gr. powder. dry. antitranspirante. para dama|rexona|arts. para el cuidado personal|basicos|47.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
desodorante|barra 50 gr. men active. antitranspirante. dry. para caballero|rexona|arts. para el cuidado personal|basicos|47.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
desodorante|barra 60 gr. fresh. para caballero|speed stick|arts. para el cuidado personal|basicos|45.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
desodorante|barra 60 gr. spazio. para caballero|stefano|arts. para el cuidado personal|basicos|48.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
detergente p/trastes|botella 750 ml. liquido. limon|axion|detergentes y productos similares|basicos|34.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
formula lactea|para lactante. lata 400 gr.|nan 1|leche procesada|basicos|109.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
formula lactea|para lactante. lata 400 gr.|nan 2|leche procesada|basicos|98.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
galletas dulces|paquete 170 gr. triki trakes|marinela|galletas pastas y harinas de trigo|basicos|26.9|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
galletas populares|paquete 170 gr. marias|gamesa|galletas pastas y harinas de trigo|basicos|12.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
jabon de tocador|barra 150 gr.|camay. clasico|arts. para el cuidado personal|basicos|15.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
jabon de tocador|caja con barra 135 gr. original|dove|arts. para el cuidado personal|basicos|28.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
jabon de tocador|caja con barra 75 gr. baby. humectacion enriquecida para bebe|dove|arts. para el cuidado personal|basicos|23.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
jabon de tocador|caja con barra 100 gr. ricitos de oro. manzanilla para bebe|grisi|arts. para el cuidado personal|basicos|17.9|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
jabon de tocador|caja con barra 75 gr. original. hipoalergenico. para bebe|johnson s baby|arts. para el cuidado personal|basicos|17.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
jabon de tocador|barra 150 gr. siente la frescura|zest|arts. para el cuidado personal|basicos|16.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
leche condensada|lata 387 gr.|la lechera. original|leche procesada|basicos|19.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
leche en polvo|lata 360 gr. (alimento para ninos...)|nido. kinder|leche procesada|basicos|59.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
leche evaporada|lata 360 gr. evaporada parcialmente descremada|carnation. clavel|leche procesada|basicos|20.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
limpiador liquido p/piso|botella 1 lt. multiusos. fresca lavanda|fabuloso|detergentes y productos similares|basicos|23.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
limpiador liquido p/piso|botella 1 lt. multiusos pino|pinol. el original|detergentes y productos similares|basicos|24.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
panales desechables|paquete 40 piezas. talla 4|chicolastic. classic|arts. de papel p/higiene personal|basicos|128.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
panales desechables|paquete 40 piezas. antifugas. talla 4|chicolastic. kiddies|arts. de papel p/higiene personal|basicos|157.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
panales desechables|paquete 36 piezas. etapa 4. nina|huggies. ultra confort|arts. de papel p/higiene personal|basicos|218.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
panales desechables|paquete 40 piezas. grande|kleen bebe. absorsec ultra|arts. de papel p/higiene personal|basicos|105.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
panales desechables|paquete 38 piezas. grande|kleen bebe. suavelastic|arts. de papel p/higiene personal|basicos|165.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
papas fritas y similares|bolsa 170 gr. chips. papas fritas. sabor sal de mar|barcel|chocolates y golosinas|basicos|49.9|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
papas fritas y similares|bolsa 200 gr. churrumais. con limoncito|sabritas|chocolates y golosinas|basicos|33.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
papel higienico|paquete 12 rollos. 180 hojas dobles|kleenex. cottonelle. soft care|arts. de papel p/higiene personal|basicos|82.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
papel higienico|paquete 12 rollos. 200 hojas dobles|suavel|arts. de papel p/higiene personal|basicos|51.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
pastelillos y pan dulce empaquetado|paquete con 1 gansito|marinela|pan|basicos|10.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
pastelillos y pan dulce empaquetado|paquete con 2 chocoroles|marinela|pan|basicos|15.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
pastelillos y pan dulce empaquetado|paquete con 2 pinguinos|marinela|pan|basicos|15.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
pilas electricas|paquete con 2. d. dura mas|duracell|accesorios domesticos|basicos|130.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
pilas electricas|paquete con 6. aa. dura hasta 10 veces mas...|duracell|accesorios domesticos|basicos|130.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
pilas electricas|paquete con 2. d|energizer max|accesorios domesticos|basicos|119.9|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
rastrillos desechables|paquete con 2. presto barba 3 (rosa)|gillette|arts. para el cuidado personal|basicos|77.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
rastrillos desechables|paquete con 2. presto barba 3. comfortgel|gillette|arts. para el cuidado personal|basicos|82.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
rastrillos desechables|paquete con 2. presto barba. (rosa)|gillette|arts. para el cuidado personal|basicos|55.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
rastrillos desechables|paquete con 2. presto barba. 2|gillette|arts. para el cuidado personal|basicos|43.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
rastrillos desechables|paquete con 2. presto barba. excel|gillette|arts. para el cuidado personal|basicos|71.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
rastrillos desechables|paquete con 2. presto barba. ultra grip. 2|gillette|arts. para el cuidado personal|basicos|55.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
refresco|botella 1 lt. no retornable|coca cola|refrescos envasados|basicos|16.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
refresco|botella 2.5 lt. no retornable|coca cola|refrescos envasados|basicos|30.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
refresco|lata 355 ml.|coca cola|refrescos envasados|basicos|13.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
refresco|botella 2 lt. no retornable|coca cola. light|refrescos envasados|basicos|28.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
refresco|lata 355 ml.|pepsi|refrescos envasados|basicos|9.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
repuestos de navajas|estuche con 2. mach 3|gillette|arts. para el cuidado personal|basicos|135.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
shampoo|botella 700 ml. control caspa. aloe vera. brillo y suavidad|alert|arts. para el cuidado personal|basicos|63.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
shampoo|botella 700 ml. reparacion. cabello seco|alert|arts. para el cuidado personal|basicos|63.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
shampoo|botella 350 ml. original|folicure|arts. para el cuidado personal|basicos|58.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
shampoo|botella 700 ml. extra|folicure|arts. para el cuidado personal|basicos|74.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
shampoo|botella 375 ml. proteccion caida|head & shoulders|arts. para el cuidado personal|basicos|59.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
shampoo|botella 700 ml. 4. acondicionamiento extra intensivo|palmolive optims|arts. para el cuidado personal|basicos|77.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
shampoo|botella 750 ml. clasico. hierbas|vanart|arts. para el cuidado personal|basicos|26.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
suavizante p/ropa|botella 800 ml. acondicionador de telas. libre enjuague|downy|detergentes y productos similares|basicos|21.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
suavizante p/ropa|botella 850 ml. cuidado superior. fresca primavera|suavitel|detergentes y productos similares|basicos|21.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
tinte para el cabello|caja|l oreal paris imedia excellence creme. 4|arts. para el cuidado personal|basicos|67.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
tinte para el cabello|caja|l oreal. paris. casting. 400|arts. para el cuidado personal|basicos|54.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
tinte para el cabello|caja|palette. color creme. 4-0|arts. para el cuidado personal|basicos|41.9|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
tinte para el cabello|caja|wella koleston. 40|arts. para el cuidado personal|basicos|57.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
toalla femenina|bolsa 10 piezas. nocturna. con alas|kotex|arts. de papel p/higiene personal|basicos|30.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
toalla femenina|bolsa 14 piezas. ultradelgada. con alas|kotex|arts. de papel p/higiene personal|basicos|36.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
toalla femenina|bolsa 20 piezas. anatomica. sin alas|kotex|arts. de papel p/higiene personal|basicos|43.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
toalla femenina|bolsa 10 piezas. cuidado nocturno. extra larga. con alas. flujo super abundante|naturella|arts. de papel p/higiene personal|basicos|36.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
toalla femenina|bolsa 14 piezas. intima clip. regular. con alas|saba|arts. de papel p/higiene personal|basicos|23.9|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
toalla femenina|bolsa 14 piezas. invisible. delgada. con alas|saba|arts. de papel p/higiene personal|basicos|39.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
toallita humeda limpiadora|paquete 72 piezas. supreme. pure & natural|huggies|arts. de papel p/higiene personal|basicos|57.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
toallita humeda limpiadora|paquete 80 piezas. cuidado hidratante|huggies|arts. de papel p/higiene personal|basicos|57.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
toallita humeda limpiadora|paquete 100 piezas. suavelastic|kleen bebe|arts. de papel p/higiene personal|basicos|51.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
toallita humeda limpiadora|paquete 63 piezas. soft & cream|nivea baby|arts. de papel p/higiene personal|basicos|51.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
aceite|botella 1 lt. mixto|1-2-3|aceites y grasas veg. comestibles|basicos|25.0|2018-01-02|hipermercado soriana|supermercado / tienda de autoservicio|soriana hiper sucursal san marcos|convencion s/n, entre carlos sagredo y fundicion, col. san cayetano, cp. 20010|aguascalientes|aguascalientes
aceite|botella 1 lt. canola|canoil|aceites y grasas veg. comestibles|basicos|27.0|2018-01-02|hipermercado soriana|supermercado / tienda de autoservicio|soriana hiper sucursal san marcos|convencion s/n, entre carlos sagredo y fundicion, col. san cayetano, cp. 20010|aguascalientes|aguascalientes
aceite|botella 900 ml. maiz|mazola|aceites y grasas veg. comestibles|basicos|32.2|2018-01-02|hipermercado soriana|supermercado / tienda de autoservicio|soriana hiper sucursal san marcos|convencion s/n, entre carlos sagredo y fundicion, col. san cayetano, cp. 20010|aguascalientes|aguascalientes
aceite|botella 946 ml. soya|nutrioli|aceites y grasas veg. comestibles|basicos|26.5|2018-01-02|hipermercado soriana|supermercado / tienda de autoservicio|soriana hiper sucursal san marcos|convencion s/n, entre carlos sagredo y fundicion, col. san cayetano, cp. 20010|aguascalientes|aguascalientes
aceite|botella 946 ml. cartamo|oleico|aceites y grasas veg. comestibles|basicos|49.25|2018-01-02|hipermercado soriana|supermercado / tienda de autoservicio|soriana hiper sucursal san marcos|convencion s/n, entre carlos sagredo y fundicion, col. san cayetano, cp. 20010|aguascalientes|aguascalientes
aceite|botella 900 ml. mixto|soriana|aceites y grasas veg. comestibles|basicos|19.9|2018-01-02|hipermercado soriana|supermercado / tienda de autoservicio|soriana hiper sucursal san marcos|convencion s/n, entre carlos sagredo y fundicion, col. san cayetano, cp. 20010|aguascalientes|aguascalientes
aceite de oliva|botella 750 ml. extra virgen|carbonell|productos de temporada (navidenos)|basicos|126.6|2018-01-02|hipermercado soriana|supermercado / tienda de autoservicio|soriana hiper sucursal san marcos|convencion s/n, entre carlos sagredo y fundicion, col. san cayetano, cp. 20010|aguascalientes|aguascalientes
aceituna|frasco 215 gr. verde. rellena de pimiento|bufalo|productos de temporada (navidenos)|basicos|27.0|2018-01-02|hipermercado soriana|supermercado / tienda de autoservicio|soriana hiper sucursal san marcos|convencion s/n, entre carlos sagredo y fundicion, col. san cayetano, cp. 20010|aguascalientes|aguascalientes
aceituna|frasco 240 gr. deshuesada|bufalo|productos de temporada (navidenos)|basicos|34.9|2018-01-02|hipermercado soriana|supermercado / tienda de autoservicio|soriana hiper sucursal san marcos|convencion s/n, entre carlos sagredo y fundicion, col. san cayetano, cp. 20010|aguascalientes|aguascalientes
aceituna|frasco 240 gr. manzanilla|bufalo|productos de temporada (navidenos)|basicos|34.5|2018-01-02|hipermercado soriana|supermercado / tienda de autoservicio|soriana hiper sucursal san marcos|convencion s/n, entre carlos sagredo y fundicion, col. san cayetano, cp. 20010|aguascalientes|aguascalientes
aceituna|1 kg. granel. gordal|s/m|productos de temporada (navidenos)|basicos|179.0|2018-01-02|hipermercado soriana|supermercado / tienda de autoservicio|soriana hiper sucursal san marcos|convencion s/n, entre carlos sagredo y fundicion, col. san cayetano, cp. 20010|aguascalientes|aguascalientes
acondicionador y enjuague|botella 650 ml. stop caida|garnier. fructis|arts. para el cuidado personal|basicos|42.9|2018-01-02|hipermercado soriana|supermercado / tienda de autoservicio|soriana hiper sucursal san marcos|convencion s/n, entre carlos sagredo y fundicion, col. san cayetano, cp. 20010|aguascalientes|aguascalientes
